Device,Test Name,Test Status,Message(s),Test description,Test category
campus-leaf1,VerifyCoredump,success,,Verifies there are no core dump files.,System
campus-leaf1,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
campus-leaf1,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
campus-leaf1,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
campus-leaf1,VerifyNTP,success,,Verifies if NTP is synchronised.,System
campus-leaf1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
campus-leaf2,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
campus-leaf2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
campus-leaf2,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
campus-leaf2,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
campus-leaf2,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
campus-leaf2,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
campus-leaf2,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
campus-leaf2,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
campus-leaf2,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
campus-leaf2,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
campus-leaf2,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
campus-leaf2,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
campus-leaf2,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
campus-leaf2,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
campus-leaf2,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
campus-leaf2,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
campus-leaf2,VerifyCoredump,success,,Verifies there are no core dump files.,System
campus-leaf2,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
campus-leaf2,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
campus-leaf2,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
campus-leaf2,VerifyNTP,success,,Verifies if NTP is synchronised.,System
campus-leaf2,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
campus-leaf3,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
campus-leaf3,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
campus-leaf3,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
campus-leaf3,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
